x,y,color
0.821529,4.58068,3
-1.2847,7.3863,1
-0.993036,2.76732,0
-1.13787,3.80241,0
-2.18038,2.56529,0
2.20731,0.290511,4
-1.34132,7.31365,1
-1.56159,3.30929,0
1.71447,1.2544,4
0.115625,3.47406,3
7.61988,-1.92282,2
9.11615,-2.09714,2
-1.73081,7.13727,1
8.85649,-2.75617,2
1.49112,4.81778,3
0.973502,4.13556,3
-2.06885,8.19019,1
-1.24292,8.16539,1
-1.67019,9.07698,1
1.54133,0.597925,4
-1.03147,3.48826,0
0.204526,3.31099,3
-1.27215,8.43193,1
-0.852065,2.06674,0
-1.51841,9.56589,1
0.956518,5.08265,3
2.37588,2.57289,4
-1.8427,2.43436,0
2.73748,1.58635,4
0.6216,0.715164,4
1.53496,-0.176601,4
-1.01971,3.23842,0
-0.445765,7.09816,1
1.54171,0.479794,4
9.22474,-2.26219,2
2.37192,0.64385,4
1.70135,3.52181,3
2.04901,0.836963,4
-1.46334,7.64887,1
-1.25385,3.85414,0
0.502298,3.37813,3
10.0748,-1.58271,2
0.795983,4.09077,3
-1.85708,2.68374,0
8.68255,-2.61639,2
9.22453,-3.442,2
-0.694595,7.51486,1
0.978971,3.71255,3
-2.37442,1.49705,0
2.26121,1.17076,4
-0.0106323,3.04141,0
-0.815729,8.05255,1
0.97283,4.94055,3
1.30105,3.60114,3
-0.993101,8.14542,1
-1.66327,6.95263,1
-1.8604,2.51548,0
1.5944,0.739964,4
2.13336,2.25357,4
9.27431,-2.60605,2
-1.34418,7.30908,1
1.64769,1.04749,4
2.18791,1.24059,4
-2.03461,3.49668,0
-0.555524,4.69596,3
-1.1114,6.54544,1
0.561471,3.46276,3
0.341127,3.99838,3
-2.13736,3.49604,0
-0.830583,7.34854,1
1.16977,1.02421,4
0.365302,3.91105,3
-2.08517,2.64337,0
1.37513,0.791595,4
9.68351,-1.27514,2
1.90767,2.91149,3
-2.16479,4.39215,0
9.1194,-2.93985,2
1.42037,1.88189,4
1.51343,5.12877,3
1.12619,3.58124,3
-2.45296,3.10364,0
8.67935,-2.57743,2
2.41961,1.4682,4
1.44082,1.73222,4
0.470801,4.53861,3
8.98991,-1.91673,2
-0.702532,7.59741,1
9.53561,-3.66518,2
-1.19531,8.18265,1
-1.52477,1.5108,0
1.98684,5.16887,3
0.271049,6.99695,1
-1.91545,2.38233,0
1.02438,5.50745,3
-1.1867,2.90245,0
0.879806,5.09293,3
1.06283,4.29088,3
-0.71553,3.37934,0
-1.01245,1.44153,0
9.59667,-1.86229,2
1.24921,3.77871,3
9.56018,-2.29021,2
-2.1714,7.79514,1
1.10099,0.436137,4
2.32678,1.0499,4
0.996956,4.78681,3
0.465124,3.97941,3
9.03393,-2.14579,2
-1.68262,2.91763,0
-1.21847,3.39628,0
-1.52677,2.75478,0
2.6655,1.49831,4
1.65721,4.96556,3
0.610154,3.20926,3
1.663,4.29253,3
-0.496194,2.87896,0
2.6281,0.825052,4
-1.11215,2.94771,0
-1.66383,3.09555,0
8.30709,-2.49339,2
0.662339,4.71561,3
2.33208,0.829653,4
-1.82568,8.19447,1
-0.949172,7.33464,1
-1.14531,3.22186,0
0.894672,3.81354,3
-1.37459,3.56898,0
9.19178,-2.65416,2
-1.75167,8.33447,1
9.21936,-2.05738,2
-1.84477,3.741,0
9.51774,-2.43818,2
10.0519,-1.96112,2
1.58111,1.07193,4
9.42918,-3.53094,2
-1.98925,7.87598,1
8.29781,-2.70541,2
0.494224,3.89006,3
1.84494,0.921055,4
-0.158751,7.8424,1
-1.54555,3.43726,0
0.747229,4.21211,3
1.40099,4.29064,3
-1.44819,3.81147,0
-2.57194,8.41912,1
-0.983287,2.52424,0
9.34704,-1.9167,2
-1.02419,3.32717,0
1.87872,0.603426,4
1.49037,3.91317,3
10.0621,-2.1948,2
8.4065,-2.33419,2
-2.12399,2.42379,0
-2.66819,8.48004,1
-1.81918,7.47294,1
-1.21695,8.22716,1
9.11325,-1.71918,2
10.2512,-3.05011,2
-1.37672,7.66539,1
2.33783,0.424354,4
1.33688,1.92829,4
